LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,HOUSECOST,PRICEINCOME,IDX2015,A,1992,66.29400824,
AUS,HOUSECOST,PRICEINCOME,IDX2015,A,1993,66.4795582,
AUS,HOUSECOST,PRICEINCOME,IDX2015,A,1994,65.7361031,
AUS,HOUSECOST,PRICEINCOME,IDX2015,A,1995,63.56302967,
AUS,HOUSECOST,PRICEINCOME,IDX2015,A,1996,60.98702815,
AUS,HOUSECOST,PRICEINCOME,IDX2015,A,1997,61.26100074,
AUS,HOUSECOST,PRICEINCOME,IDX2015,A,1998,64.72053777,
AUS,HOUSECOST,PRICEINCOME,IDX2015,A,1999,66.28833866,
AUS,HOUSECOST,PRICEINCOME,IDX2015,A,2000,68.22877655,
AUS,HOUSECOST,PRICEINCOME,IDX2015,A,2001,70.12073049,
AUS,HOUSECOST,PRICEINCOME,IDX2015,A,2002,81.63793761,
AUS,HOUSECOST,PRICEINCOME,IDX2015,A,2003,92.17969475,
AUS,HOUSECOST,PRICEINCOME,IDX2015,A,2004,91.33369526,
AUS,HOUSECOST,PRICEINCOME,IDX2015,A,2005,88.34454377,
AUS,HOUSECOST,PRICEINCOME,IDX2015,A,2006,89.6373788,
AUS,HOUSECOST,PRICEINCOME,IDX2015,A,2007,91.04772745,
AUS,HOUSECOST,PRICEINCOME,IDX2015,A,2008,88.00722385,
AUS,HOUSECOST,PRICEINCOME,IDX2015,A,2009,87.45029408,
AUS,HOUSECOST,PRICEINCOME,IDX2015,A,2010,93.87872904,
AUS,HOUSECOST,PRICEINCOME,IDX2015,A,2011,86.29600821,
AUS,HOUSECOST,PRICEINCOME,IDX2015,A,2012,84.76181874,
AUS,HOUSECOST,PRICEINCOME,IDX2015,A,2013,87.94628418,
AUS,HOUSECOST,PRICEINCOME,IDX2015,A,2014,92.77124782,
AUS,HOUSECOST,PRICEINCOME,IDX2015,A,2015,100,
AUS,HOUSECOST,PRICEINCOME,IDX2015,A,2016,105.067428,
AUS,HOUSECOST,PRICEINCOME,IDX2015,A,2017,112.5677552,
AUS,HOUSECOST,PRICEINCOME,IDX2015,A,2018,108.920466,
AUS,HOUSECOST,PRICEINCOME,IDX2015,A,2019,102.1502087,
AUS,HOUSECOST,PRICERENT,IDX2015,A,1973,40.92020037,
AUS,HOUSECOST,PRICERENT,IDX2015,A,1974,45.06343829,
AUS,HOUSECOST,PRICERENT,IDX2015,A,1975,42.91994542,
AUS,HOUSECOST,PRICERENT,IDX2015,A,1976,41.70440347,
AUS,HOUSECOST,PRICERENT,IDX2015,A,1977,40.6310242,
AUS,HOUSECOST,PRICERENT,IDX2015,A,1978,39.46336515,
AUS,HOUSECOST,PRICERENT,IDX2015,A,1979,41.16281925,
AUS,HOUSECOST,PRICERENT,IDX2015,A,1980,43.57277087,
AUS,HOUSECOST,PRICERENT,IDX2015,A,1981,46.40659266,
AUS,HOUSECOST,PRICERENT,IDX2015,A,1982,43.04789217,
AUS,HOUSECOST,PRICERENT,IDX2015,A,1983,41.7513673,
AUS,HOUSECOST,PRICERENT,IDX2015,A,1984,43.3761134,
AUS,HOUSECOST,PRICERENT,IDX2015,A,1985,44.0623252,
AUS,HOUSECOST,PRICERENT,IDX2015,A,1986,42.737636,
AUS,HOUSECOST,PRICERENT,IDX2015,A,1987,40.97245109,
AUS,HOUSECOST,PRICERENT,IDX2015,A,1988,44.96647071,
AUS,HOUSECOST,PRICERENT,IDX2015,A,1989,51.34433492,
AUS,HOUSECOST,PRICERENT,IDX2015,A,1990,49.19662489,
AUS,HOUSECOST,PRICERENT,IDX2015,A,1991,48.861814,
AUS,HOUSECOST,PRICERENT,IDX2015,A,1992,49.14674587,
AUS,HOUSECOST,PRICERENT,IDX2015,A,1993,50.19262462,
AUS,HOUSECOST,PRICERENT,IDX2015,A,1994,51.62885369,
AUS,HOUSECOST,PRICERENT,IDX2015,A,1995,51.37547766,
AUS,HOUSECOST,PRICERENT,IDX2015,A,1996,50.25387237,
AUS,HOUSECOST,PRICERENT,IDX2015,A,1997,50.78045277,
AUS,HOUSECOST,PRICERENT,IDX2015,A,1998,52.90080971,
AUS,HOUSECOST,PRICERENT,IDX2015,A,1999,55.25864036,
AUS,HOUSECOST,PRICERENT,IDX2015,A,2000,58.06223213,
AUS,HOUSECOST,PRICERENT,IDX2015,A,2001,62.61882784,
AUS,HOUSECOST,PRICERENT,IDX2015,A,2002,72.55844954,
AUS,HOUSECOST,PRICERENT,IDX2015,A,2003,84.07166714,
AUS,HOUSECOST,PRICERENT,IDX2015,A,2004,87.15431632,
AUS,HOUSECOST,PRICERENT,IDX2015,A,2005,86.82397454,
AUS,HOUSECOST,PRICERENT,IDX2015,A,2006,89.89005871,
AUS,HOUSECOST,PRICERENT,IDX2015,A,2007,94.17116385,
AUS,HOUSECOST,PRICERENT,IDX2015,A,2008,90.91118036,
AUS,HOUSECOST,PRICERENT,IDX2015,A,2009,88.55768195,
AUS,HOUSECOST,PRICERENT,IDX2015,A,2010,94.83064675,
AUS,HOUSECOST,PRICERENT,IDX2015,A,2011,88.73119485,
AUS,HOUSECOST,PRICERENT,IDX2015,A,2012,84.90537085,
AUS,HOUSECOST,PRICERENT,IDX2015,A,2013,87.63148878,
AUS,HOUSECOST,PRICERENT,IDX2015,A,2014,93.22827451,
AUS,HOUSECOST,PRICERENT,IDX2015,A,2015,100,
AUS,HOUSECOST,PRICERENT,IDX2015,A,2016,104.7145319,
AUS,HOUSECOST,PRICERENT,IDX2015,A,2017,112.7468671,
AUS,HOUSECOST,PRICERENT,IDX2015,A,2018,110.4088439,
AUS,HOUSECOST,PRICERENT,IDX2015,A,2019,105.5413327,
AUS,HOUSECOST,REAL,IDX2015,A,1970,26.58839133,
AUS,HOUSECOST,REAL,IDX2015,A,1971,27.7139063,
AUS,HOUSECOST,REAL,IDX2015,A,1972,29.11576933,
AUS,HOUSECOST,REAL,IDX2015,A,1973,32.26659499,
AUS,HOUSECOST,REAL,IDX2015,A,1974,34.25648234,
AUS,HOUSECOST,REAL,IDX2015,A,1975,32.42404541,
AUS,HOUSECOST,REAL,IDX2015,A,1976,31.69803593,
AUS,HOUSECOST,REAL,IDX2015,A,1977,31.09070671,
AUS,HOUSECOST,REAL,IDX2015,A,1978,30.14782259,
AUS,HOUSECOST,REAL,IDX2015,A,1979,31.12527195,
AUS,HOUSECOST,REAL,IDX2015,A,1980,31.88944742,
AUS,HOUSECOST,REAL,IDX2015,A,1981,33.61027017,
AUS,HOUSECOST,REAL,IDX2015,A,1982,31.55856908,
AUS,HOUSECOST,REAL,IDX2015,A,1983,30.52095111,
AUS,HOUSECOST,REAL,IDX2015,A,1984,31.99542333,
AUS,HOUSECOST,REAL,IDX2015,A,1985,33.06507838,
AUS,HOUSECOST,REAL,IDX2015,A,1986,32.70779886,
AUS,HOUSECOST,REAL,IDX2015,A,1987,32.0929953,
AUS,HOUSECOST,REAL,IDX2015,A,1988,36.73714765,
AUS,HOUSECOST,REAL,IDX2015,A,1989,43.05520056,
AUS,HOUSECOST,REAL,IDX2015,A,1990,41.0605644,
AUS,HOUSECOST,REAL,IDX2015,A,1991,40.60548632,
AUS,HOUSECOST,REAL,IDX2015,A,1992,40.46110681,
AUS,HOUSECOST,REAL,IDX2015,A,1993,40.66158055,
AUS,HOUSECOST,REAL,IDX2015,A,1994,41.45569785,
AUS,HOUSECOST,REAL,IDX2015,A,1995,40.82846024,
AUS,HOUSECOST,REAL,IDX2015,A,1996,40.38283143,
AUS,HOUSECOST,REAL,IDX2015,A,1997,41.40306746,
AUS,HOUSECOST,REAL,IDX2015,A,1998,43.84044567,
AUS,HOUSECOST,REAL,IDX2015,A,1999,46.52181808,
AUS,HOUSECOST,REAL,IDX2015,A,2000,48.70147626,
AUS,HOUSECOST,REAL,IDX2015,A,2001,52.38523192,
AUS,HOUSECOST,REAL,IDX2015,A,2002,60.45268565,
AUS,HOUSECOST,REAL,IDX2015,A,2003,69.75284968,
AUS,HOUSECOST,REAL,IDX2015,A,2004,73.02549667,
AUS,HOUSECOST,REAL,IDX2015,A,2005,72.78952672,
AUS,HOUSECOST,REAL,IDX2015,A,2006,75.10141227,
AUS,HOUSECOST,REAL,IDX2015,A,2007,80.49225577,
AUS,HOUSECOST,REAL,IDX2015,A,2008,81.12440893,
AUS,HOUSECOST,REAL,IDX2015,A,2009,82.24895935,
AUS,HOUSECOST,REAL,IDX2015,A,2010,89.88683089,
AUS,HOUSECOST,REAL,IDX2015,A,2011,85.89625818,
AUS,HOUSECOST,REAL,IDX2015,A,2012,83.60146017,
AUS,HOUSECOST,REAL,IDX2015,A,2013,87.02779982,
AUS,HOUSECOST,REAL,IDX2015,A,2014,93.09252988,
AUS,HOUSECOST,REAL,IDX2015,A,2015,100,
AUS,HOUSECOST,REAL,IDX2015,A,2016,104.523109,
AUS,HOUSECOST,REAL,IDX2015,A,2017,111.8186526,
AUS,HOUSECOST,REAL,IDX2015,A,2018,108.4130293,
AUS,HOUSECOST,REAL,IDX2015,A,2019,102.1833469,
AUS,HOUSECOST,RENT,IDX2015,A,1973,9.366454921,
AUS,HOUSECOST,RENT,IDX2015,A,1974,10.4147668,
AUS,HOUSECOST,RENT,IDX2015,A,1975,12.12397652,
AUS,HOUSECOST,RENT,IDX2015,A,1976,13.90155174,
AUS,HOUSECOST,RENT,IDX2015,A,1977,15.42844443,
AUS,HOUSECOST,RENT,IDX2015,A,1978,16.70465209,
AUS,HOUSECOST,RENT,IDX2015,A,1979,18.11759726,
AUS,HOUSECOST,RENT,IDX2015,A,1980,19.34822742,
AUS,HOUSECOST,RENT,IDX2015,A,1981,20.92069512,
AUS,HOUSECOST,RENT,IDX2015,A,1982,23.38195292,
AUS,HOUSECOST,RENT,IDX2015,A,1983,25.45579068,
AUS,HOUSECOST,RENT,IDX2015,A,1984,27.32452342,
AUS,HOUSECOST,RENT,IDX2015,A,1985,29.64904871,
AUS,HOUSECOST,RENT,IDX2015,A,1986,32.70282659,
AUS,HOUSECOST,RENT,IDX2015,A,1987,36.07566701,
AUS,HOUSECOST,RENT,IDX2015,A,1988,40.20055253,
AUS,HOUSECOST,RENT,IDX2015,A,1989,44.0063855,
AUS,HOUSECOST,RENT,IDX2015,A,1990,46.62717083,
AUS,HOUSECOST,RENT,IDX2015,A,1991,48.15406352,
AUS,HOUSECOST,RENT,IDX2015,A,1992,48.60985608,
AUS,HOUSECOST,RENT,IDX2015,A,1993,48.8377461,
AUS,HOUSECOST,RENT,IDX2015,A,1994,49.17958615,
AUS,HOUSECOST,RENT,IDX2015,A,1995,50.02279375,
AUS,HOUSECOST,RENT,IDX2015,A,1996,51.54968644,
AUS,HOUSECOST,RENT,IDX2015,A,1997,53.05379163,
AUS,HOUSECOST,RENT,IDX2015,A,1998,54.67183933,
AUS,HOUSECOST,RENT,IDX2015,A,1999,56.13036202,
AUS,HOUSECOST,RENT,IDX2015,A,2000,57.86236223,
AUS,HOUSECOST,RENT,IDX2015,A,2001,59.66272246,
AUS,HOUSECOST,RENT,IDX2015,A,2002,61.14403514,
AUS,HOUSECOST,RENT,IDX2015,A,2003,62.28351029,
AUS,HOUSECOST,RENT,IDX2015,A,2004,63.85597798,
AUS,HOUSECOST,RENT,IDX2015,A,2005,65.26892316,
AUS,HOUSECOST,RENT,IDX2015,A,2006,67.38833842,
AUS,HOUSECOST,RENT,IDX2015,A,2007,71.08022889,
AUS,HOUSECOST,RENT,IDX2015,A,2008,76.64084708,
AUS,HOUSECOST,RENT,IDX2015,A,2009,81.74568272,
AUS,HOUSECOST,RENT,IDX2015,A,2010,85.30083316,
AUS,HOUSECOST,RENT,IDX2015,A,2011,89.22061115,
AUS,HOUSECOST,RENT,IDX2015,A,2012,92.91250161,
AUS,HOUSECOST,RENT,IDX2015,A,2013,95.966282,
AUS,HOUSECOST,RENT,IDX2015,A,2014,98.3819623,
AUS,HOUSECOST,RENT,IDX2015,A,2015,100,
AUS,HOUSECOST,RENT,IDX2015,A,2016,100.7520626,
AUS,HOUSECOST,RENT,IDX2015,A,2017,101.3901627,
AUS,HOUSECOST,RENT,IDX2015,A,2018,102.0510378,
AUS,HOUSECOST,RENT,IDX2015,A,2019,102.4157128,
AUS,HOUSECOST,RENT,IDX2015,A,2020,101.4585377,
AUT,HOUSECOST,NOMINAL,IDX2015,A,2000,58.58386076,
AUT,HOUSECOST,NOMINAL,IDX2015,A,2001,59.08182358,
AUT,HOUSECOST,NOMINAL,IDX2015,A,2002,59.41868078,
AUT,HOUSECOST,NOMINAL,IDX2015,A,2003,59.57978639,
AUT,HOUSECOST,NOMINAL,IDX2015,A,2004,58.43740111,
AUT,HOUSECOST,NOMINAL,IDX2015,A,2005,61.35194818,
AUT,HOUSECOST,NOMINAL,IDX2015,A,2006,63.87105419,
AUT,HOUSECOST,NOMINAL,IDX2015,A,2007,66.85883109,
AUT,HOUSECOST,NOMINAL,IDX2015,A,2008,67.57648339,
AUT,HOUSECOST,NOMINAL,IDX2015,A,2009,70.21275712,
AUT,HOUSECOST,NOMINAL,IDX2015,A,2010,76.7975,
AUT,HOUSECOST,NOMINAL,IDX2015,A,2011,81.5975,
AUT,HOUSECOST,NOMINAL,IDX2015,A,2012,87.57,
AUT,HOUSECOST,NOMINAL,IDX2015,A,2013,92.1,
AUT,HOUSECOST,NOMINAL,IDX2015,A,2014,95.33,
AUT,HOUSECOST,NOMINAL,IDX2015,A,2015,100,
AUT,HOUSECOST,NOMINAL,IDX2015,A,2016,108.5325,
AUT,HOUSECOST,NOMINAL,IDX2015,A,2017,114.26,
AUT,HOUSECOST,NOMINAL,IDX2015,A,2018,119.64,
AUT,HOUSECOST,NOMINAL,IDX2015,A,2019,126.6,
AUT,HOUSECOST,PRICEINCOME,IDX2015,A,2000,82.14848828,
AUT,HOUSECOST,PRICEINCOME,IDX2015,A,2001,81.72489566,
AUT,HOUSECOST,PRICEINCOME,IDX2015,A,2002,80.87402084,
AUT,HOUSECOST,PRICEINCOME,IDX2015,A,2003,78.64905813,
AUT,HOUSECOST,PRICEINCOME,IDX2015,A,2004,74.80274928,
AUT,HOUSECOST,PRICEINCOME,IDX2015,A,2005,74.07998468,
AUT,HOUSECOST,PRICEINCOME,IDX2015,A,2006,74.00628683,
AUT,HOUSECOST,PRICEINCOME,IDX2015,A,2007,74.1871717,
AUT,HOUSECOST,PRICEINCOME,IDX2015,A,2008,73.0053058,
AUT,HOUSECOST,PRICEINCOME,IDX2015,A,2009,76.02780457,
AUT,HOUSECOST,PRICEINCOME,IDX2015,A,2010,82.68929457,
AUT,HOUSECOST,PRICEINCOME,IDX2015,A,2011,85.89344251,
AUT,HOUSECOST,PRICEINCOME,IDX2015,A,2012,89.07804808,
AUT,HOUSECOST,PRICEINCOME,IDX2015,A,2013,94.16189902,
AUT,HOUSECOST,PRICEINCOME,IDX2015,A,2014,95.57907354,
AUT,HOUSECOST,PRICEINCOME,IDX2015,A,2015,100,
AUT,HOUSECOST,PRICEINCOME,IDX2015,A,2016,105.4631874,
AUT,HOUSECOST,PRICEINCOME,IDX2015,A,2017,108.0300759,
AUT,HOUSECOST,PRICEINCOME,IDX2015,A,2018,109.8386135,
AUT,HOUSECOST,PRICEINCOME,IDX2015,A,2019,113.1183225,
AUT,HOUSECOST,PRICERENT,IDX2015,A,2000,94.93000016,
AUT,HOUSECOST,PRICERENT,IDX2015,A,2001,93.10759347,
AUT,HOUSECOST,PRICERENT,IDX2015,A,2002,92.096125,
AUT,HOUSECOST,PRICERENT,IDX2015,A,2003,88.47775211,
AUT,HOUSECOST,PRICERENT,IDX2015,A,2004,83.8708859,
AUT,HOUSECOST,PRICERENT,IDX2015,A,2005,85.12945802,
AUT,HOUSECOST,PRICERENT,IDX2015,A,2006,86.67581898,
AUT,HOUSECOST,PRICERENT,IDX2015,A,2007,88.97925887,
AUT,HOUSECOST,PRICERENT,IDX2015,A,2008,88.81657208,
AUT,HOUSECOST,PRICERENT,IDX2015,A,2009,88.16074298,
AUT,HOUSECOST,PRICERENT,IDX2015,A,2010,92.74928958,
AUT,HOUSECOST,PRICERENT,IDX2015,A,2011,95.38070795,
AUT,HOUSECOST,PRICERENT,IDX2015,A,2012,98.04925902,
AUT,HOUSECOST,PRICERENT,IDX2015,A,2013,100.0183584,
AUT,HOUSECOST,PRICERENT,IDX2015,A,2014,99.57942898,
AUT,HOUSECOST,PRICERENT,IDX2015,A,2015,100,
AUT,HOUSECOST,PRICERENT,IDX2015,A,2016,105.3097647,
AUT,HOUSECOST,PRICERENT,IDX2015,A,2017,106.4647292,
AUT,HOUSECOST,PRICERENT,IDX2015,A,2018,107.4808634,
AUT,HOUSECOST,PRICERENT,IDX2015,A,2019,110.4482843,
AUT,HOUSECOST,REAL,IDX2015,A,2000,77.98446683,
AUT,HOUSECOST,REAL,IDX2015,A,2001,76.8212236,
AUT,HOUSECOST,REAL,IDX2015,A,2002,76.47893625,
AUT,HOUSECOST,REAL,IDX2015,A,2003,75.52340688,
AUT,HOUSECOST,REAL,IDX2015,A,2004,72.82761201,
AUT,HOUSECOST,REAL,IDX2015,A,2005,74.65437571,
AUT,HOUSECOST,REAL,IDX2015,A,2006,76.12460028,
AUT,HOUSECOST,REAL,IDX2015,A,2007,77.75696605,
AUT,HOUSECOST,REAL,IDX2015,A,2008,76.97822869,
AUT,HOUSECOST,REAL,IDX2015,A,2009,79.71567241,
AUT,HOUSECOST,REAL,IDX2015,A,2010,85.68938884,
AUT,HOUSECOST,REAL,IDX2015,A,2011,88.2558064,
AUT,HOUSECOST,REAL,IDX2015,A,2012,92.53653788,
AUT,HOUSECOST,REAL,IDX2015,A,2013,95.32973813,
AUT,HOUSECOST,REAL,IDX2015,A,2014,96.72130202,
AUT,HOUSECOST,REAL,IDX2015,A,2015,100,
AUT,HOUSECOST,REAL,IDX2015,A,2016,106.9837419,
AUT,HOUSECOST,REAL,IDX2015,A,2017,110.6469206,
AUT,HOUSECOST,REAL,IDX2015,A,2018,113.5313025,
AUT,HOUSECOST,REAL,IDX2015,A,2019,117.9497345,
AUT,HOUSECOST,RENT,IDX2015,A,1966,6.677056939,
AUT,HOUSECOST,RENT,IDX2015,A,1967,7.074865125,
AUT,HOUSECOST,RENT,IDX2015,A,1968,7.570594932,
AUT,HOUSECOST,RENT,IDX2015,A,1969,8.123075385,
AUT,HOUSECOST,RENT,IDX2015,A,1970,9.042763502,
AUT,HOUSECOST,RENT,IDX2015,A,1971,10.20224822,
AUT,HOUSECOST,RENT,IDX2015,A,1972,11.23821789,
AUT,HOUSECOST,RENT,IDX2015,A,1973,12.54124888,
AUT,HOUSECOST,RENT,IDX2015,A,1974,13.18886905,
AUT,HOUSECOST,RENT,IDX2015,A,1975,14.5792491,
AUT,HOUSECOST,RENT,IDX2015,A,1976,17.14914603,
AUT,HOUSECOST,RENT,IDX2015,A,1977,18.96404297,
AUT,HOUSECOST,RENT,IDX2015,A,1978,19.98777254,
AUT,HOUSECOST,RENT,IDX2015,A,1979,20.70160273,
AUT,HOUSECOST,RENT,IDX2015,A,1980,21.39317859,
AUT,HOUSECOST,RENT,IDX2015,A,1981,22.68953187,
AUT,HOUSECOST,RENT,IDX2015,A,1982,25.2928103,
AUT,HOUSECOST,RENT,IDX2015,A,1983,28.90813114,
AUT,HOUSECOST,RENT,IDX2015,A,1984,31.10525988,
AUT,HOUSECOST,RENT,IDX2015,A,1985,33.2845814,
AUT,HOUSECOST,RENT,IDX2015,A,1986,34.59261481,
AUT,HOUSECOST,RENT,IDX2015,A,1987,35.7738023,
AUT,HOUSECOST,RENT,IDX2015,A,1988,36.54883306,
AUT,HOUSECOST,RENT,IDX2015,A,1989,37.51636916,
AUT,HOUSECOST,RENT,IDX2015,A,1990,39.08200966,
AUT,HOUSECOST,RENT,IDX2015,A,1991,40.97312615,
AUT,HOUSECOST,RENT,IDX2015,A,1992,43.62814859,
AUT,HOUSECOST,RENT,IDX2015,A,1993,45.89704273,
AUT,HOUSECOST,RENT,IDX2015,A,1994,48.82079473,
AUT,HOUSECOST,RENT,IDX2015,A,1995,52.51345744,
AUT,HOUSECOST,RENT,IDX2015,A,1996,55.70092956,
AUT,HOUSECOST,RENT,IDX2015,A,1997,57.73457549,
AUT,HOUSECOST,RENT,IDX2015,A,1998,59.47905588,
AUT,HOUSECOST,RENT,IDX2015,A,1999,60.70065866,
AUT,HOUSECOST,RENT,IDX2015,A,2000,61.72810139,
AUT,HOUSECOST,RENT,IDX2015,A,2001,63.47191678,
AUT,HOUSECOST,RENT,IDX2015,A,2002,64.54701952,
AUT,HOUSECOST,RENT,IDX2015,A,2003,67.35564516,
AUT,HOUSECOST,RENT,IDX2015,A,2004,69.70131568,
AUT,HOUSECOST,RENT,IDX2015,A,2005,72.09048372,
AUT,HOUSECOST,RENT,IDX2015,A,2006,73.70664908,
AUT,HOUSECOST,RENT,IDX2015,A,2007,75.15458941,
AUT,HOUSECOST,RENT,IDX2015,A,2008,76.09784962,
AUT,HOUSECOST,RENT,IDX2015,A,2009,79.67263043,
AUT,HOUSECOST,RENT,IDX2015,A,2010,82.80883113,
AUT,HOUSECOST,RENT,IDX2015,A,2011,85.55647175,
AUT,HOUSECOST,RENT,IDX2015,A,2012,89.3258501,
AUT,HOUSECOST,RENT,IDX2015,A,2013,92.10109822,
AUT,HOUSECOST,RENT,IDX2015,A,2014,95.76001405,
AUT,HOUSECOST,RENT,IDX2015,A,2015,100,
AUT,HOUSECOST,RENT,IDX2015,A,2016,103.0828482,
AUT,HOUSECOST,RENT,IDX2015,A,2017,107.3404742,
AUT,HOUSECOST,RENT,IDX2015,A,2018,111.3315,
AUT,HOUSECOST,RENT,IDX2015,A,2019,114.6392508,
AUT,HOUSECOST,RENT,IDX2015,A,2020,119.3448519,
BEL,HOUSECOST,NOMINAL,IDX2015,A,1970,7.735564275,
BEL,HOUSECOST,NOMINAL,IDX2015,A,1971,7.676965801,
BEL,HOUSECOST,NOMINAL,IDX2015,A,1972,8.350879682,
BEL,HOUSECOST,NOMINAL,IDX2015,A,1973,9.523478733,
BEL,HOUSECOST,NOMINAL,IDX2015,A,1974,10.95511279,
BEL,HOUSECOST,NOMINAL,IDX2015,A,1975,12.64854182,
BEL,HOUSECOST,NOMINAL,IDX2015,A,1976,15.3269058,
BEL,HOUSECOST,NOMINAL,IDX2015,A,1977,17.8459959,
